image,type,bucket_url,face_uuid,retina_face_score,facial_area,right_eye,left_eye,nose,mouth_right,mouth_left,image_width,image_height,f_pixel_x,f_pixel_y,f_pixel_width,f_pixel_height,f_relativ_x,f_relativ_y,f_relativ_width,f_relativ_height
images/armin_laschet/2021-09-22_14-55-06_UTC_2.jpg,Post,armin_laschet/2021-09-22_14-55-06_UTC_2.jpg,1e19a944-ce54-4a50-af5f-1fb26ae46852,0.9994630217552184,"[618, 68, 698, 179]","[655.83215, 115.59756]","[687.78125, 116.61998]","[679.88385, 137.47713]","[651.548, 148.28584]","[682.7433, 149.67479]",1440,856,618,68,80,111,42.916666666666664,7.943925233644859,5.555555555555555,12.967289719626168
images/armin_laschet/2021-09-22_14-55-06_UTC_2.jpg,Post,armin_laschet/2021-09-22_14-55-06_UTC_2.jpg,7c50af0d-d49f-4121-921b-173b16eb9a63,0.9994584918022156,"[865, 76, 941, 176]","[882.80505, 117.19016]","[918.87573, 113.6915]","[901.9659, 135.02817]","[887.5133, 148.83932]","[923.07104, 145.7976]",1440,856,865,76,76,100,60.06944444444444,8.878504672897195,5.277777777777778,11.682242990654206
images/armin_laschet/2021-09-22_14-55-06_UTC_2.jpg,Post,armin_laschet/2021-09-22_14-55-06_UTC_2.jpg,f0902030-6596-4e02-a702-9ac7c47c5e16,0.9994329810142516,"[217, 96, 293, 203]","[247.93494, 139.99324]","[282.4035, 137.506]","[276.23734, 155.95622]","[253.7339, 175.65933]","[284.2945, 173.6826]",1440,856,217,96,76,107,15.069444444444445,11.214953271028037,5.277777777777778,12.5
images/armin_laschet/2021-09-22_14-55-06_UTC_2.jpg,Post,armin_laschet/2021-09-22_14-55-06_UTC_2.jpg,d4d4e4e0-f05f-47f5-8dc3-754335fd3e62,0.9953215718269348,"[418, 111, 460, 165]","[427.0738, 133.0951]","[445.76318, 133.36816]","[434.90997, 144.35779]","[429.42117, 153.67068]","[442.7721, 153.90323]",1440,856,418,111,42,54,29.02777777777778,12.967289719626168,2.9166666666666665,6.308411214953271
images/armin_laschet/2021-09-22_14-55-06_UTC_2.jpg,Post,armin_laschet/2021-09-22_14-55-06_UTC_2.jpg,b57bfd65-c875-4f24-9273-ed43955386d2,0.9951003193855286,"[986, 65, 1075, 227]","[1001.7438, 125.714874]","[1003.1344, 126.80907]","[987.33704, 157.53435]","[1007.1196, 187.25154]","[1009.04364, 187.13972]",1440,856,986,65,89,162,68.47222222222223,7.593457943925233,6.180555555555555,18.925233644859812
images/armin_laschet/2021-09-18_19-12-07_UTC_5.jpg,Post,armin_laschet/2021-09-18_19-12-07_UTC_5.jpg,67c1b6e5-0143-4ab1-a00f-028ecc4fe865,0.9996511936187744,"[539, 256, 673, 408]","[572.1645, 301.7198]","[626.7063, 323.16904]","[579.2665, 335.98376]","[554.7419, 356.12308]","[602.5403, 373.13095]",1440,930,539,256,134,152,37.43055555555556,27.526881720430108,9.305555555555555,16.344086021505376
images/armin_laschet/2021-09-18_19-12-07_UTC_5.jpg,Post,armin_laschet/2021-09-18_19-12-07_UTC_5.jpg,356bf24d-d42d-4dac-9e3c-bda68e88021c,0.9993610978126526,"[1011, 263, 1181, 482]","[1033.7905, 347.6389]","[1106.8971, 350.73746]","[1051.1572, 392.81995]","[1039.7397, 419.65607]","[1108.8234, 421.6784]",1440,930,1011,263,170,219,70.20833333333333,28.279569892473116,11.805555555555555,23.548387096774192
images/armin_laschet/2021-09-18_19-12-07_UTC_5.jpg,Post,armin_laschet/2021-09-18_19-12-07_UTC_5.jpg,be4d0281-00f8-4c08-baf9-eb09fe94338b,0.9992319345474244,"[701, 279, 849, 483]","[730.69183, 354.00946]","[798.09906, 368.66763]","[747.0001, 396.26627]","[717.80334, 417.15875]","[785.0454, 430.45905]",1440,930,701,279,148,204,48.68055555555556,30.0,10.277777777777777,21.935483870967744
images/armin_laschet/2021-09-18_19-12-07_UTC_5.jpg,Post,armin_laschet/2021-09-18_19-12-07_UTC_5.jpg,f0572adc-11de-4c14-92d5-74519881dfec,0.999174177646637,"[70, 179, 195, 338]","[116.39371, 251.66145]","[172.7573, 241.63402]","[158.14574, 276.24374]","[133.58499, 306.86514]","[176.85312, 298.57983]",1440,930,70,179,125,159,4.861111111111112,19.247311827956988,8.680555555555555,17.096774193548388
images/armin_laschet/2021-09-18_19-12-07_UTC_5.jpg,Post,armin_laschet/2021-09-18_19-12-07_UTC_5.jpg,15b922fd-28b1-4173-80f0-e3e330e30030,0.9990981817245485,"[1215, 258, 1408, 524]","[1238.043, 362.40274]","[1306.6058, 361.20984]","[1236.833, 403.46964]","[1239.2556, 458.671]","[1297.8832, 457.3701]",1440,930,1215,258,193,266,84.375,27.741935483870968,13.402777777777777,28.602150537634408
