,face_uuid,filename,Ground Truth,match_file,match_score,model,distance_metric,number_of_hits,Model,account_name
0,b248b1d2-1780-4b4c-8529-571b0246a9e5,olafscholz/2021-09-13_07-45-59_UTC.jpg,Olaf Scholz,addb18d2-ca87-4104-b149-5ecb974f1432.png,0.5209834336434738,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
2,95c9174b-5389-4ccb-89ac-98de4be55d9e,olafscholz/2021-09-14_10-23-23_UTC_1.jpg,Olaf Scholz,fb89d12e-d3a5-48c2-b506-eca8454e847b.png,0.5476679079631442,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
6,4c441268-34c9-4ee1-a7f2-82c5277a354e,olafscholz/2021-09-20_11-29-19_UTC.jpg,Olaf Scholz,c27ee252-e37c-4074-92b5-20e300431107.png,0.479990057622936,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
11,47d76ade-4763-44e7-a3b8-7341f6915efc,olafscholz/2021-09-16_19-01-33_UTC_2.jpg,Olaf Scholz,c27ee252-e37c-4074-92b5-20e300431107.png,0.6255995503669669,Facenet512,euclidean_l2,38.0,Olaf Scholz,olafscholz
13,955c61d6-2354-43e5-a3c9-acd5b9ec6003,olafscholz/2021-09-21_20-52-10_UTC.jpg,Olaf Scholz,f124d4ca-3c2d-40fd-a3a4-81e0a32b39d5.png,0.6487577258564595,Facenet512,euclidean_l2,38.0,Olaf Scholz,olafscholz
16,051c9355-b9b8-4bad-9ad9-654e5551d4b7,olafscholz/2021-09-18_20-26-35_UTC_4.jpg,Olaf Scholz,,,,,,Unknown,olafscholz
22,35690793-22f3-4f9f-ab01-8f9d3a2e4f03,olafscholz/2021-09-23_14-27-32_UTC.jpg,Olaf Scholz,,,,,,Unknown,olafscholz
43,472bb060-4aa1-45c4-8b8c-6667270510be,olafscholz/2021-09-21_11-26-43_UTC_1.jpg,Olaf Scholz,cf207ba3-2a6b-42b2-b0c6-b0fb9e7532f0.png,0.4741504488647467,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
45,ddcf661f-890e-4148-a4c0-1583971e33b1,olafscholz/2021-09-16_19-01-33_UTC_3.jpg,Olaf Scholz,fb89d12e-d3a5-48c2-b506-eca8454e847b.png,0.5360590897403634,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
46,a4863739-c0cd-48e3-b46f-3ad967a0c058,olafscholz/2021-09-18_12-22-03_UTC_2.jpg,Olaf Scholz,8c8b42f9-47e7-4df5-bffb-da674eab6953.png,0.7812632878655236,Facenet512,euclidean_l2,36.0,Olaf Scholz,olafscholz
48,c8f0d3a3-2443-4a94-b103-f62f226c8aa4,olafscholz/2021-09-26_09-32-19_UTC.jpg,Olaf Scholz,77b54f7d-504a-4313-ab25-b66060e08f06.png,0.5177589051320362,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
53,d96b6647-f128-46e2-b806-ebc052eb5d15,olafscholz/2021-09-14_20-32-47_UTC.jpg,Olaf Scholz,c27ee252-e37c-4074-92b5-20e300431107.png,0.526965474277702,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
55,207e684f-37d2-45d0-be40-ad00aeff2e5c,olafscholz/2021-09-19_12-46-17_UTC.jpg,Olaf Scholz,b4140b08-8bd8-4631-a580-a48195a9970a.png,0.4187333671607483,Facenet512,euclidean_l2,38.0,Olaf Scholz,olafscholz
56,a9cd0063-324d-4904-9cb5-23d4e2c458fd,olafscholz/2021-09-25_09-36-17_UTC.jpg,Olaf Scholz,f124d4ca-3c2d-40fd-a3a4-81e0a32b39d5.png,0.4340931073941148,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
59,3a31121e-8a13-4313-b67c-37c0ec4e8843,olafscholz/2021-09-14_10-23-23_UTC_3.jpg,Olaf Scholz,04a53ef1-618b-4c9c-97a8-a1187a75c05c.png,0.5754662536566167,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
60,ca60fb2c-7138-41c9-88c4-1cb2609da02c,olafscholz/2021-09-15_16-06-34_UTC.jpg,Olaf Scholz,77b54f7d-504a-4313-ab25-b66060e08f06.png,0.2646695629470991,Facenet512,euclidean_l2,38.0,Olaf Scholz,olafscholz
66,251c0e4d-b1d1-40ae-84d8-474f17411bcd,olafscholz/2021-09-20_18-06-50_UTC_3.jpg,Olaf Scholz,,,,,,Unknown,olafscholz
67,a053111e-fc0d-4bba-ae72-3926637394ae,olafscholz/2021-09-23_16-02-21_UTC.jpg,Olaf Scholz,77b54f7d-504a-4313-ab25-b66060e08f06.png,0.2641267930238455,Facenet512,euclidean_l2,38.0,Olaf Scholz,olafscholz
68,658b9cff-8dc7-4799-8231-a5cb57bd4f3b,olafscholz/2021-09-13_17-19-29_UTC.jpg,Olaf Scholz,91d6fa25-3671-4110-8beb-1c3296cdf4d0.png,0.4644416754631603,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
75,9d4292ec-4c54-4c8b-b190-3fac04a762e7,olafscholz/2021-09-26_18-22-24_UTC.jpg,Olaf Scholz,,,,,,Unknown,olafscholz
125,db7b9a60-f4a1-40c7-9c10-db0098aab097,olafscholz/2021-09-12_06-04-39_UTC.jpg,Olaf Scholz,cf207ba3-2a6b-42b2-b0c6-b0fb9e7532f0.png,0.3983739702460596,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
148,8c397667-4727-4254-8d6c-dd5990670aa6,olafscholz/2021-09-25_06-30-26_UTC.jpg,Olaf Scholz,c27ee252-e37c-4074-92b5-20e300431107.png,0.455776637461567,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
159,f3102534-3d2d-45f3-9ec6-5a6921823fed,olafscholz/2021-09-20_18-06-50_UTC_4.jpg,Olaf Scholz,,,,,,Unknown,olafscholz
161,3e731f8b-755a-4847-b79a-6f32b5f348d1,olafscholz/2021-09-23_20-32-15_UTC.jpg,Olaf Scholz,8d943c06-bff2-429b-a407-9931a3761618.png,0.4902866010641148,Facenet512,euclidean_l2,38.0,Olaf Scholz,olafscholz
162,54e49c7f-28ba-43ca-8750-6d1b50bb156d,olafscholz/2021-09-23_08-10-17_UTC.jpg,Olaf Scholz,fb89d12e-d3a5-48c2-b506-eca8454e847b.png,0.4255950569286246,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
164,b82dc719-b511-48b9-b7d4-71b31d8f831f,olafscholz/2021-09-24_11-51-14_UTC_2.jpg,Olaf Scholz,97bef193-f3fe-4df6-b6d6-37ad2790018d.png,0.4846976627075968,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
165,95787117-a35c-4a5c-996a-a2bfee65d760,olafscholz/2021-09-17_10-42-46_UTC_1.jpg,Olaf Scholz,baaa081f-7a38-4907-b92b-ba3d791c4012.png,0.4172513991989087,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
175,e8d3f3a6-d45c-4098-ab16-a8bfcb48eb2c,olafscholz/2021-09-20_18-06-50_UTC_1.jpg,Olaf Scholz,c27ee252-e37c-4074-92b5-20e300431107.png,0.4516526780697101,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
187,c4b4546f-ad45-46cf-a279-afc247273ea8,olafscholz/2021-09-18_20-26-35_UTC_2.jpg,Olaf Scholz,f124d4ca-3c2d-40fd-a3a4-81e0a32b39d5.png,0.5637696147449702,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
188,81a0b5c8-95f4-42be-bb93-2d6d158c0e66,olafscholz/2021-09-18_20-26-35_UTC_2.jpg,Olaf Scholz,91d6fa25-3671-4110-8beb-1c3296cdf4d0.png,0.7737757375061604,Facenet512,euclidean_l2,38.0,Olaf Scholz,olafscholz
189,26cb923b-55a6-4c84-afc1-531a314758c2,olafscholz/2021-09-18_20-26-35_UTC_2.jpg,Olaf Scholz,04a53ef1-618b-4c9c-97a8-a1187a75c05c.png,0.4063531102151708,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
199,b93e639d-c1f8-4ce9-9033-aa065556d219,olafscholz/2021-09-19_06-31-01_UTC.jpg,Olaf Scholz,8c8b42f9-47e7-4df5-bffb-da674eab6953.png,0.8292635552471619,Facenet512,euclidean_l2,28.0,Olaf Scholz,olafscholz
202,3c5c52d4-7cc9-4b10-ac77-dbefdc7bfb71,olafscholz/2021-09-16_19-01-33_UTC_1.jpg,Olaf Scholz,82f4d29e-1d17-4672-b015-52009fda2a23.png,0.6722949042912193,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
203,60416ccb-c451-40dd-ba21-ab6d867373f7,olafscholz/2021-09-25_16-17-50_UTC.jpg,Olaf Scholz,c27ee252-e37c-4074-92b5-20e300431107.png,0.6964265396324137,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
204,8b8ce03d-806f-4fa7-a31f-93f8885a979e,olafscholz/2021-09-20_18-06-50_UTC_2.jpg,Olaf Scholz,fb89d12e-d3a5-48c2-b506-eca8454e847b.png,0.5160408325023585,Facenet512,euclidean_l2,38.0,Olaf Scholz,olafscholz
207,035036c5-8a89-4a1a-8b4b-fd576c90a711,olafscholz/2021-09-14_10-23-23_UTC_2.jpg,Olaf Scholz,c27ee252-e37c-4074-92b5-20e300431107.png,0.5695832737895519,Facenet512,euclidean_l2,38.0,Olaf Scholz,olafscholz
209,79c91ab8-6fd8-448e-ad2f-28ebb76c9d29,armin_laschet/2021-09-25_12-43-21_UTC_1.jpg,Armin Laschet,c0c7aedd-97dc-4394-8336-f812c19fc1a2.png,0.5713191691036594,Facenet512,euclidean_l2,36.0,Armin Laschet,armin_laschet
227,b57bfd65-c875-4f24-9273-ed43955386d2,armin_laschet/2021-09-22_14-55-06_UTC_2.jpg,Armin Laschet,,,,,,Unknown,armin_laschet
230,be4d0281-00f8-4c08-baf9-eb09fe94338b,armin_laschet/2021-09-18_19-12-07_UTC_5.jpg,Armin Laschet,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.6251140746648147,Facenet512,euclidean_l2,40.0,Armin Laschet,armin_laschet
237,ba69017f-3f42-4512-9cad-7adcc7f9e4bc,armin_laschet/2021-09-21_05-10-21_UTC_2.jpg,Armin Laschet,1f347af9-a36f-4727-923b-4c1a1e934ab9.png,0.7069435275520987,Facenet512,euclidean_l2,40.0,Armin Laschet,armin_laschet
274,54df6d89-84e5-4731-9850-e23c703733f9,armin_laschet/2021-09-12_20-45-47_UTC.jpg,Armin Laschet,f891fb5e-737c-4bf0-9c55-824f2cdff348.png,0.4398106813243635,Facenet512,euclidean_l2,40.0,Armin Laschet,armin_laschet
332,a6118aec-42e5-4aaa-a0bf-c6a1053fb182,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Armin Laschet,80b6f539-47d0-408e-8a0b-aadcffe513a5.png,0.7137723344736928,Facenet512,euclidean_l2,40.0,Armin Laschet,armin_laschet
335,e51a0894-dfa6-4147-90ad-e960c8ee7fee,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Armin Laschet,9c3a43b8-03a7-453c-a980-1c4523abd5f3.png,0.4281164494473054,Facenet512,euclidean_l2,40.0,Armin Laschet,armin_laschet
372,8d6dbbc2-1f74-458b-ba65-977780cf58b7,armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,Armin Laschet,9c3a43b8-03a7-453c-a980-1c4523abd5f3.png,0.7089656181451153,Facenet512,euclidean_l2,40.0,Armin Laschet,armin_laschet
662,d8fb1bea-b189-4cd0-b158-e63fc41643b7,armin_laschet/2021-09-16_15-01-25_UTC.jpg,Armin Laschet,b95e4651-bf56-4f12-8d9c-4defe1aef9b0.png,0.4504950494174626,Facenet512,euclidean_l2,38.0,Armin Laschet,armin_laschet
727,72201a79-b4fc-4208-aeb2-e008c741490f,armin_laschet/2021-09-19_20-18-11_UTC.jpg,Armin Laschet,d0e6d963-6d02-463b-a226-ce3f34b0fcc5.png,0.5551175923673319,Facenet512,euclidean_l2,40.0,Armin Laschet,armin_laschet
742,b7e00a2a-02d5-4123-860b-af8fe76bc5bc,cdu/2021-09-21_18-48-32_UTC_2.jpg,Armin Laschet,,,,,,Unknown,cdu
749,911c2356-b8c2-4e47-9df3-6f94680c7012,cdu/2021-09-23_10-08-51_UTC_1.jpg,Armin Laschet,c0c7aedd-97dc-4394-8336-f812c19fc1a2.png,0.7395975796924937,Facenet512,euclidean_l2,38.0,Armin Laschet,cdu
760,f92ced52-05d2-4fa8-a9e4-e88a966a7f83,cdu/2021-09-18_17-06-46_UTC_9.jpg,Armin Laschet,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.5745149565683636,Facenet512,euclidean_l2,40.0,Armin Laschet,cdu
761,675ecd0c-68d6-4eea-88f9-d761519ec3b6,cdu/2021-09-14_05-32-44_UTC.jpg,Armin Laschet,laschet_armin.jpeg,0.4770899233385908,Facenet512,euclidean_l2,38.0,Armin Laschet,cdu
764,3c39abe0-1ef1-4459-84dd-8e0d57e8b7bf,cdu/2021-09-21_20-02-32_UTC_2.jpg,Armin Laschet,,,,,,Unknown,cdu
767,737f0936-ee3d-42dd-a46d-1c8f70f2956c,cdu/2021-09-18_17-06-46_UTC_4.jpg,Armin Laschet,laschet_armin.jpeg,0.6223432947636685,Facenet512,euclidean_l2,40.0,Armin Laschet,cdu
768,cf153917-023d-49c7-840e-9bfd6604780d,cdu/2021-09-12_20-09-20_UTC.jpg,Armin Laschet,f891fb5e-737c-4bf0-9c55-824f2cdff348.png,0.4677933570229236,Facenet512,euclidean_l2,38.0,Armin Laschet,cdu
771,3898699d-2db4-4630-b21c-c96df66d1083,cdu/2021-09-23_07-44-39_UTC.jpg,Armin Laschet,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.8877759764198153,Facenet512,euclidean_l2,6.0,Armin Laschet,cdu
773,1b5d1190-62e9-4210-9120-be97d666f5ca,cdu/2021-09-15_09-26-42_UTC_4.jpg,Armin Laschet,f891fb5e-737c-4bf0-9c55-824f2cdff348.png,0.7813970888324694,Facenet512,euclidean_l2,24.0,Armin Laschet,cdu
