,face_uuid,account_name,Ground Truth,filename,match_file,match_score,model,distance_metric,number_of_hits,Model
0,0b8b3aa1-e602-4d45-a088-e7f3b57e2306,armin_laschet,Armin Laschet,armin_laschet_26-09-2021_00:00_video2.jpeg,c9b28a08-82fc-4524-9287-70b4dbc96c5b.png,0.7983085170280382,Facenet512,euclidean_l2,18.0,Armin Laschet
1,f2cc0ff3-6696-4d59-a762-2073cae25025,armin_laschet,Unknown,armin_laschet_26-09-2021_00:00_video2.jpeg,,,,,,Unknown
2,d5890112-c278-4c09-ac0c-13e4ecef8790,armin_laschet,Unknown,armin_laschet_26-09-2021_00:00_video2.jpeg,,,,,,Unknown
3,842af872-d788-4629-aa74-b031cea55fe2,armin_laschet,Unknown,armin_laschet_14-09-2021_00:00_video3.jpeg,,,,,,Unknown
4,523fccf4-70e1-437e-bb1d-c906fd0d4648,spdde,Olaf Scholz,spdde_26-09-2021_00:00_video1.jpeg,cf207ba3-2a6b-42b2-b0c6-b0fb9e7532f0.png,0.754718212987882,Facenet512,euclidean_l2,19.0,Olaf Scholz
5,9378611f-0eb2-4714-a2a0-a2302fadca2e,spdde,Unknown,spdde_26-09-2021_00:00_video1.jpeg,,,,,,Unknown
6,554549f0-eb26-48f4-bd5b-b5513dbb9dd3,spdde,Unknown,spdde_26-09-2021_00:00_video1.jpeg,,,,,,Unknown
7,b8205fa2-9302-4ba6-82ff-00587434e0f9,armin_laschet,Armin Laschet,armin_laschet_20-09-2021_00:00_video6.jpeg,1e103923-022b-4d3f-a32e-e9c848a00e70.png,0.6318174212405551,Facenet512,euclidean_l2,20.0,Armin Laschet
37,cd95ebf9-1438-4b80-ac5e-4853add83fb8,christianlindner,Unknown,christianlindner_25-09-2021_00:00_video0.jpeg,,,,,,Unknown
38,18305234-b78c-4227-89e3-9340d0b7416b,christianlindner,Unknown,christianlindner_25-09-2021_00:00_video0.jpeg,,,,,,Unknown
39,a44eed36-cfa8-4187-b3f4-af8ccf7c5241,christianlindner,Christian Lindner,christianlindner_25-09-2021_00:00_video0.jpeg,b2b81709-caad-45cc-b632-78901d5ab389.png,0.7637544541030263,Facenet512,euclidean_l2,7.0,Christian Lindner
40,629e0332-a662-4cee-8051-8d6033541d07,abaerbock,Unknown,abaerbock_18-09-2021_00:00_image6.jpeg,,,,,,Unknown
41,6d7abb70-94a7-4928-a327-f6e77a32bb31,abaerbock,Annalena Baerbock,abaerbock_18-09-2021_00:00_image6.jpeg,,,,,,Unknown
42,0663e9b8-7bb6-42fb-b313-a51020ed03df,cdu,Unknown,cdu_21-09-2021_00:00_video0.jpeg,,,,,,Unknown
43,0e464991-082c-4af9-ab9c-43e1ce42c6f2,cdu,Unknown,cdu_18-09-2021_00:00_video6.jpeg,,,,,,Unknown
44,abb7d3a0-71ad-4d89-b033-8232e21c6ca3,cdu,Unknown,cdu_18-09-2021_00:00_video6.jpeg,,,,,,Unknown
45,30cb08a6-6c04-44fd-8425-990f81ab3043,abaerbock,Unknown,abaerbock_16-09-2021_00:00_image8.jpeg,,,,,,Unknown
