,Image,7107,10475,16195,Majority Decision,Gold,GPT-4,GPT-4o,GPT-4-Neu
0,abaerbock_26-09-2021_00:00_video0.jpeg,1,1,1,1,1,1,1,1
2,armin_laschet_21-09-2021_00:00_video1.jpeg,1,1,1,1,1,1,1,1
3,abaerbock_25-09-2021_00:00_video0.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
4,olafscholz_24-09-2021_00:00_image2.jpeg,2,2,2,2,2,2,2,2
5,die_gruenen_13-09-2021_00:00_image2.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
7,christianlindner_17-09-2021_00:00_video0.jpeg,2,2,2,2,2,2,2,2
9,christlichsozialeunion_21-09-2021_00:00_image0.jpeg,2,2,2,2,2,2,2,2
12,olafscholz_17-09-2021_00:00_video9.jpeg,1,1,3+,1,1,3+,3+,3+
14,olafscholz_17-09-2021_00:00_video2.jpeg,1,1,1,1,1,1,1,1
16,cdu_21-09-2021_00:00_video2.jpeg,1,1,1,1,1,1,1,1
18,olafscholz_17-09-2021_00:00_image6.jpeg,1,1,1,1,1,1,1,1
19,christlichsozialeunion_24-09-2021_00:00_image0.jpeg,1,1,0,1,1,1,1,1
20,cdu_26-09-2021_00:00_image0.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
21,olafscholz_20-09-2021_00:00_video5.jpeg,2,2,2,2,2,2,2,2
26,cdu_13-09-2021_00:00_video6.jpeg,1,0,1,1,1,3+,3+,3+
27,abaerbock_16-09-2021_00:00_image3.jpeg,1,1,1,1,1,1,1,1
28,abaerbock_17-09-2021_00:00_image5.jpeg,2,2,2,2,2,2,2,2
29,armin_laschet_23-09-2021_00:00_video14.jpeg,3+,2,2,2,2,2,3+,2
31,abaerbock_18-09-2021_00:00_image7.jpeg,2,2,2,2,2,2,2,2
33,markus.soeder_15-09-2021_00:00_image0.jpeg,0,0,0,0,0,0,1,1
34,olafscholz_26-09-2021_00:00_image2.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
37,olafscholz_18-09-2021_00:00_image0.jpeg,2,2,2,2,2,2,2,2
38,armin_laschet_17-09-2021_00:00_video2.jpeg,1,1,1,1,1,1,1,1
39,christlichsozialeunion_16-09-2021_00:00_video15.jpeg,1,1,1,1,1,1,1,1
40,christianlindner_14-09-2021_00:00_image0.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
41,olafscholz_22-09-2021_00:00_image2.jpeg,2,2,2,2,2,2,2,2
42,die_gruenen_17-09-2021_00:00_image7.jpeg,1,1,1,1,1,1,1,1
43,markus.soeder_21-09-2021_00:00_image2.jpeg,1,1,1,1,1,1,3+,1
44,christlichsozialeunion_21-09-2021_00:00_image2.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
45,christianlindner_25-09-2021_00:00_image4.jpeg,3+,2,3+,3+,3+,3+,3+,3+
46,abaerbock_20-09-2021_00:00_image2.jpeg,3+,1,1,1,1,1,3+,3+
47,armin_laschet_14-09-2021_00:00_video0.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
50,abaerbock_14-09-2021_00:00_image4.jpeg,1,1,1,1,1,1,1,1
