uuid,filename,account_name,retina-face_score,facial_area,right_eye,left_eye,nose,mouth_right,mouth_left,image_width,image_height,filepath
0b8b3aa1-e602-4d45-a088-e7f3b57e2306,armin_laschet_26-09-2021_00:00_video2.jpeg,armin_laschet,0.9993033409118652,"[257, 216, 302, 279]","[266.96323, 243.18016]","[287.0313, 242.62335]","[275.32416, 254.23615]","[270.0217, 265.658]","[284.84326, 265.15393]",480,852,/content/images/upload_s3/armin_laschet_26-09-2021_00:00_video2.jpeg
f2cc0ff3-6696-4d59-a762-2073cae25025,armin_laschet_26-09-2021_00:00_video2.jpeg,armin_laschet,0.998346209526062,"[14, 452, 38, 480]","[24.89791, 461.40964]","[34.4901, 460.3539]","[33.287186, 466.28796]","[28.207684, 473.1028]","[35.23825, 472.4179]",480,852,/content/images/upload_s3/armin_laschet_26-09-2021_00:00_video2.jpeg
d5890112-c278-4c09-ac0c-13e4ecef8790,armin_laschet_26-09-2021_00:00_video2.jpeg,armin_laschet,0.9937375783920288,"[62, 448, 83, 476]","[75.387405, 462.33563]","[81.04439, 462.9075]","[79.67509, 468.6702]","[73.35733, 471.59946]","[77.03249, 472.37045]",480,852,/content/images/upload_s3/armin_laschet_26-09-2021_00:00_video2.jpeg
842af872-d788-4629-aa74-b031cea55fe2,armin_laschet_14-09-2021_00:00_video3.jpeg,armin_laschet,0.93284809589386,"[387, 384, 399, 400]","[390.0632, 390.66055]","[395.1043, 390.9368]","[391.78268, 393.79617]","[390.3813, 396.5247]","[394.24103, 396.67773]",480,852,/content/images/upload_s3/armin_laschet_14-09-2021_00:00_video3.jpeg
523fccf4-70e1-437e-bb1d-c906fd0d4648,spdde_26-09-2021_00:00_video1.jpeg,spdde,0.9998827576637268,"[56, 112, 150, 232]","[91.68834, 162.88051]","[132.18303, 161.502]","[119.49394, 181.8032]","[100.47091, 205.8764]","[129.86879, 204.80887]",480,852,/content/images/upload_s3/spdde_26-09-2021_00:00_video1.jpeg
9378611f-0eb2-4714-a2a0-a2302fadca2e,spdde_26-09-2021_00:00_video1.jpeg,spdde,0.9992508888244628,"[361, 170, 439, 271]","[388.79303, 207.8622]","[424.5585, 209.1257]","[410.8281, 226.0962]","[393.24658, 246.57866]","[419.5848, 247.69885]",480,852,/content/images/upload_s3/spdde_26-09-2021_00:00_video1.jpeg
554549f0-eb26-48f4-bd5b-b5513dbb9dd3,spdde_26-09-2021_00:00_video1.jpeg,spdde,0.986995279788971,"[135, 127, 200, 214]","[159.82036, 163.5877]","[187.95627, 169.9001]","[172.94006, 184.15353]","[157.52695, 196.4712]","[176.03993, 201.56712]",480,852,/content/images/upload_s3/spdde_26-09-2021_00:00_video1.jpeg
b8205fa2-9302-4ba6-82ff-00587434e0f9,armin_laschet_20-09-2021_00:00_video6.jpeg,armin_laschet,0.9989547729492188,"[168, 243, 265, 387]","[198.05525, 307.57504]","[241.75002, 300.68082]","[226.67934, 328.5523]","[207.12706, 353.28342]","[245.12686, 347.46375]",480,852,/content/images/upload_s3/armin_laschet_20-09-2021_00:00_video6.jpeg
4ad60448-94ae-4bee-9db6-97ca8ea8806a,afd.bund_25-09-2021_00:00_image11.jpeg,afd.bund,0.9996019005775452,"[525, 617, 643, 759]","[561.836, 671.2131]","[616.9597, 673.27484]","[590.99347, 707.6633]","[559.0298, 715.94226]","[612.9988, 717.8982]",828,1472,/content/images/upload_s3/afd.bund_25-09-2021_00:00_image11.jpeg
7765029c-a80e-49d2-821b-896a9e48fc43,afd.bund_25-09-2021_00:00_image11.jpeg,afd.bund,0.999494969844818,"[327, 664, 439, 813]","[369.26633, 726.75604]","[419.68967, 721.9615]","[405.08377, 757.9413]","[369.01523, 773.1085]","[418.6455, 769.5025]",828,1472,/content/images/upload_s3/afd.bund_25-09-2021_00:00_image11.jpeg
